"Site","Date","spat_year","alive_nb","dead_nb","init_nb","Batch","site_spat","Specie","Support","Operator","Comments","Campaign","MR"
"Agon",2014-03-03,2013,102,5,108,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Agon",2014-06-16,2013,86,22,108,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Agon",2014-09-09,2013,76,32,108,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Agon",2014-12-08,2013,66,42,108,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Aiguillon",2013-12-05,2013,119,0,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Aiguillon",2014-03-17,2013,110,9,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Aiguillon",2014-06-19,2013,10,109,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Aiguillon",2014-09-08,2013,5,114,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Aiguillon",2014-12-10,2013,0,119,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Filiere",2013-12-03,2013,118,0,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Filiere",2014-03-17,2013,94,25,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Filiere",2014-05-14,2013,2,116,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Filiere",2014-06-18,2013,2,116,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Filiere",2014-09-08,2013,0,118,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Filiere",2014-12-10,2013,0,118,119,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Pont_Mahe",2013-12-02,2013,120,0,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
"Pont_Mahe",2014-03-06,2013,118,1,120,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
