Site;Annee;morta instantané;morta cumulé;morta instantané perceurs;Date;Remarque;Sous-site
Maison-Blanche;2021;2.7777777777777781;15.277777777777779;0;13/02/2021;NA;NA
Maison-Blanche;2021;11.944444444444445;27.222222222222221;0;29/03/2021;NA;NA
Maison-Blanche;2021;11.388888888888889;38.611111111111114;0;28/04/2021;NA;NA
Maison-Blanche;2021;4.1666666666666661;42.777777777777779;0.27777777777777773;27/05/2021;NA;NA
Maison-Blanche;2021;1.1111111111111109;43.888888888888893;0;25/06/2021;Colmatage;NA
Maison-Blanche;2021;0;0;0;10/09/2021;Mise en poche;NA
Maison-Blanche;2021;0;0;0;07/10/2021;NA;NA
Maison-Blanche;2021;2.5;2.5;2.9166666666666665;03/11/2021;NA;NA
Maison-Blanche;2021;1.6666666666666667;4.166666666666667;4.1666666666666661;07/12/2021;NA;NA
Maison-Blanche;2022;3.3333333333333335;7.5;2.5000000000000009;04/01/2022;NA;NA
Maison-Blanche;2022;3.3333333333333335;10.833333333333334;0;02/02/2022;NA;NA
Maison-Blanche;2022;3.75;14.583333333333334;0.41666666666666669;02/03/2022;NA;NA
Maison-Blanche;2022;4.583333333333333;19.166666666666668;0;05/04/2022;NA;NA
Maison-Blanche;2022;9.5833333333333339;28.75;1.6666666666666667;02/05/2022;NA;NA
Maison-Blanche;2022;1.25;30;0;30/05/2022;NA;NA
Maison-Blanche;2022;0;30;0;13/07/2022;NA;NA
Maison-Blanche;2022;0.83333333333333337;30.833333333333332;0;12/08/2022;Colmatage;NA
Maison-Blanche;2022;1.25;32.083333333333329;1;13/09/2022;Colmatage;NA
Maison-Blanche;2022;0;0;0;13/09/2022;Mise en poche;NA
Maison-Blanche;2022;0;0;0;11/10/2022;NA;NA
Maison-Blanche;2022;0;0;0;08/11/2022;NA;NA
Maison-Blanche;2022;0;0;0.83333333333333337;07/12/2022;NA;NA
Maison-Blanche;2022;NR;NR;NR;NA;NA;NA
Maison-Blanche;2023;1.25;1.25;2.5;23/01/2023;NA;NA
Maison-Blanche;2023;0.83333333333333304;2.083333333333333;0.83333333333333259;20/02/2023;NA;NA
Maison-Blanche;2023;2.083333333333333;4.1666666666666661;0;22/03/2023;NA;NA
Maison-Blanche;2023;2.5000000000000009;6.666666666666667;0;19/04/2023;NA;NA
Maison-Blanche;2023;0;6.666666666666667;0;17/05/2023;NA;NA
Maison-Blanche;2023;0;6.666666666666667;0;20/06/2023;NA;NA
Maison-Blanche;2023;0;6.666666666666667;0;20/07/2023;NA;NA
Maison-Blanche;2023;0;6.666666666666667;0.41666666666666696;31/08/2023;NA;NA
Maison-Blanche;2023;0.83333333333333337;7.5;0;02/10/2023;NA;NA
Guérinière;2016;0;0;0;22/09/2016;Mise en poche;NA
Guérinière;2016;0;0;0;18/10/2016;NA;NA
Guérinière;2016;0.55999999999999994;0.55999999999999994;0;17/11/2016;NA;NA
Guérinière;2016;0;0.55999999999999994;0;14/12/2016;NA;NA
Guérinière;2017;1.1100000000000001;1.67;0;11/01/2017;NA;NA
Guérinière;2017;0;1.67;0;09/02/2017;NA;NA
Guérinière;2017;1.94;3.61;0;14/03/2017;NA;NA
Guérinière;2017;6.67;10.28;0;10/04/2017;NA;NA
Guérinière;2017;16.11;26.39;0;29/05/2017;NA;NA
Guérinière;2017;4.4400000000000004;30.830000000000002;0;26/06/2017;NA;NA
Guérinière;2017;3.3300000000000005;34.160000000000004;0;25/07/2017;NA;NA
Guérinière;2017;0;0;0;25/10/2017;Mise en poche;NA
Guérinière;2017;0;0;0;20/11/2017;NA;NA
Guérinière;2017;0.27777777777777779;0.27777777777777779;0;20/12/2017;NA;NA
Guérinière;2018;1.1111111111111112;1.3888888888888888;0;25/01/2018;NA;NA
Guérinière;2018;0.55555555555555558;1.9444444444444444;0;02/03/2018;NA;NA
Guérinière;2018;4.166666666666667;6.1111111111111116;0;20/03/2018;NA;NA
Guérinière;2018;5;11.111111111111111;0;18/04/2018;NA;NA
Guérinière;2018;8.0555555555555554;19.166666666666664;0;17/05/2018;NA;NA
Guérinière;2018;6.666666666666667;25.833333333333332;0;15/06/2018;Colmatage;NA
Guérinière;2018;4.7222222222222223;30.555555555555554;0;13/07/2018;Colmatage;NA
Guérinière;2018;0;0;0;26/10/2018;Mise en poche;NA
Guérinière;2018;0.53;0.53;0;26/11/2018;NA;NA
Guérinière;2018;NR;NR;NR;NA;NA;NA
Guérinière;2019;1.6;2.13;0;05/01/2019;NA;NA
Guérinière;2019;NR;NR;NR;NA;NA;NA
Guérinière;2019;5.6;7.7299999999999995;0;07/03/2019;NA;NA
Guérinière;2019;11.5;19.23;0;08/04/2019;NA;NA
Guérinière;2019;7.2;26.43;0;06/05/2019;NA;NA
Guérinière;2019;3.2;29.63;0;05/06/2019;Colmatage;NA
Guérinière;2019;1.33;30.96;0;04/07/2019;Colmatage;NA
Guérinière;2019;0;0;0;03/10/2019;Mise en poche;NA
Guérinière;2019;0.56000000000000005;0.56000000000000005;0;31/10/2019;NA;NA
Guérinière;2019;0.56000000000000005;1.1200000000000001;0;25/11/2019;NA;NA
Guérinière;2019;NR;NR;NR;NA;NA;NA
Guérinière;2020;2.5;3.62;0;15/01/2020;NA;NA
Guérinière;2020;3.33;6.95;0;11/02/2020;NA;NA
Guérinière;2020;NR;NR;NR;NA;NA;NA
Guérinière;2020;36.39;43.34;0;24/04/2020;NA;NA
Guérinière;2020;6.94;50.28;0;25/05/2020;NA;NA
Guérinière;2020;1.39;51.67;0;22/06/2020;NA;NA
Guérinière;2020;0;0;0;19/10/2020;Mise en poche;NA
Guérinière;2020;0;0;0.27777777777777773;18/11/2020;NA;NA
Guérinière;2020;1.9444444444444444;1.9444444444444444;0.27777777777777773;16/12/2020;NA;NA
Guérinière;2021;1.3888888888888891;3.3333333333333335;0;12/01/2021;NA;NA
Guérinière;2021;1.6666666666666667;5;0.27777777777777773;15/02/2021;NA;NA
Guérinière;2021;5.5555555555555562;10.555555555555557;0;31/03/2021;NA;NA
Guérinière;2021;5.2777777777777777;15.833333333333336;0;26/04/2021;NA;NA
Guérinière;2021;4.583333333333333;20.416666666666668;0;24/05/2021;NA;NA
Guérinière;2021;0.83333333333333304;21.25;0;22/06/2021;NA;NA
Guérinière;2021;0;0;0;08/09/2021;Mise en poche;NA
Guérinière;2021;0;0;4.583333333333333;06/10/2021;NA;NA
Guérinière;2021;0.83333333333333337;0.83333333333333304;2.5;05/11/2021;NA;NA
Guérinière;2021;0;0.83333333333333304;1.25;06/12/2021;NA;NA
Guérinière;2022;0.83333333333333337;1.6666666666666667;2.9166666666666665;05/01/2022;NA;NA
Guérinière;2022;0;1.6666666666666667;0.83333333333333337;03/02/2022;NA;NA
Guérinière;2022;1.6666666666666667;3.3333333333333335;1;03/03/2022;NA;NA
Guérinière;2022;4.583333333333333;7.9166666666666661;0;01/04/2022;NA;NA
Guérinière;2022;19.166666666666668;27.083333333333336;3.5833333333333321;29/04/2022;NA;NA
Guérinière;2022;0.83333333333333337;27.916666666666668;0;16/06/2022;NA;NA
Guérinière;2022;0;27.916666666666668;0;13/07/2022;NA;NA
Guérinière;2022;0.41666666666666669;28.333333333333336;0;11/08/2022;Colmatage;NA
Guérinière;2023;0;28.333333333333336;0;14/09/2022;Colmatage;NA
Guérinière;2022;0;0;0;14/09/2022;Mise en poche;NA
Guérinière;2022;0;0;27.083333333333332;10/10/2022;NA;NA
Guérinière;2022;0;0;2.5;09/11/2022;NA;NA
Guérinière;2022;0;0;9.1666666666666679;08/12/2022;NA;NA
Guérinière;2022;NR;NR;NR;NA;NA;NA
Guérinière;2023;0;0;7.5;24/01/2023;NA;NA
Guérinière;2023;0;0;0;21/02/2023;NA;NA
Guérinière;2023;1.25;1.25;0;23/03/2023;NA;NA
Guérinière;2023;0;1.25;0;20/04/2023;NA;NA
Guérinière;2023;0.83333333333333337;2.0833333333333335;0;16/05/2023;NA;NA
Guérinière;2023;1.25;3.3333333333333335;0;19/06/2023;NA;NA
Guérinière;2023;2.083333333333333;5.4166666666666661;0;19/07/2023;NA;NA
Guérinière;2023;0.20833333333333334;5.6249999999999991;0;15/09/2023;NA;NA
Guérinière;2023;0;5.6249999999999991;0;13/10/2023;NA;NA
Frandière;2017;0;0;0;06/10/2017;Mise en poche;NA
Frandière;2017;0.55555555555555558;0.56000000000000005;7.2222222222222214;07/11/2017;NA;NA
Frandière;2017;2.2222222222222223;2.7822222222222224;1.3888888888888891;04/12/2017;NA;NA
Frandière;2018;NR;NR;NR;NA;NA;NA
Frandière;2018;4.166666666666667;6.9488888888888898;8.8888888888888875;02/02/2018;NA;NA
Frandière;2018;NR;NR;NR;NA;NA;NA
Frandière;2018;8.8888888888888875;15.837777777777777;1.6666666666666667;02/04/2018;NA;NA
Frandière;2018;14.444444444444445;30.282222222222224;0.27777777777777779;30/04/2018;NA;NA
Frandière;2018;6.3888888888888893;36.671111111111117;0;29/05/2018;Colmatage;NA
Frandière;2018;4.7222222222222223;41.393333333333338;0;27/06/2018;Colmatage;NA
Frandière;2018;0;0;0;08/11/2018;Mise en poche;NA
Frandière;2018;5.33;5.333333333333333;3.3333333333333335;23/12/2018;NA;NA
Frandière;2019;1.07;6.3999999999999995;2.7777777777777781;22/01/2019;NA;NA
Frandière;2019;4.8;11.2;0.83333333333333337;22/02/2019;NA;NA
Frandière;2019;8.3000000000000007;19.466666666666669;0.83333333333333337;21/03/2019;NA;NA
Frandière;2019;18.399999999999999;37.866666666666674;0;19/04/2019;NA;NA
Frandière;2019;8.8000000000000007;46.666666666666671;1.6666666666666667;20/05/2019;NA;NA
Frandière;2019;4.2699999999999996;50.933333333333337;0.83333333333333337;18/06/2019;Colmatage;NA
Frandière;2019;2.67;53.6;0;04/07/2019;Colmatage;NA
Frandière;2019;0;0;0;02/10/2019;Mise en poche;NA
Frandière;2019;1.67;1.6666666666666667;5;26/11/2019;NA;NA
Frandière;2019;NR;NR;NR;NA;NA;NA
Frandière;2020;NR;NR;NR;NA;NA;NA
Frandière;2020;20.56;22.222222222222225;1.6666666666666667;11/02/2020;NA;NA
Frandière;2020;15;37.222222222222229;0.27777777777777779;09/03/2020;NA;NA
Frandière;2020;19.170000000000002;56.3888888888889;0;08/04/2020;NA;NA
Frandière;2020;6.67;63.055555555555564;0;06/05/2020;NA;NA
Frandière;2020;NR;NR;NR;NA;NA;NA
Frandière;2020;5;68.055555555555571;0;09/07/2020;Colmatage;NA
Frandière;2020;0;0;0;19/10/2020;Mise en poche;NA
Frandière;2020;0;0;16.111111111111111;17/11/2020;NA;NA
Frandière;2020;4.4444444444444438;4.4444444444444438;6.9444444444444446;15/12/2020;NA;NA
Frandière;2021;2.5;6.9444444444444438;0.55555555555555547;15/01/2021;NA;NA
Frandière;2021;3.3333333333333335;10.277777777777777;0.55555555555555547;12/02/2021;NA;NA
Frandière;2021;4.4444444444444438;14.722222222222221;0.27777777777777773;15/03/2021;NA;NA
Frandière;2021;14.444444444444443;29.166666666666664;7.7777777777777777;27/04/2021;NA;NA
Frandière;2021;3.8888888888888888;33.05555555555555;1.6666666666666667;25/05/2021;NA;NA
Frandière;2021;5.2777777777777777;38.333333333333329;1.3888888888888891;24/06/2021;NA;NA
Frandière;2021;0;0;0;09/09/2021;Mise en poche;NA
Frandière;2021;0;0;0;08/10/2021;NA;NA
Frandière;2021;0;0;0;05/11/2021;NA;NA
Frandière;2021;0.41666666666666669;0.41666666666666669;0.41666666666666702;06/12/2021;NA;NA
Frandière;2021;0;0.41666666666666669;0;05/01/2022;NA;NA
Frandière;2022;0;0.41666666666666669;0.41666666666666669;03/02/2022;NA;NA
Frandière;2022;2.9166666666666665;3.333333333333333;0.41666666666666669;03/03/2022;NA;NA
Frandière;2022;13.750000000000002;17.083333333333336;0.41666666666666669;01/04/2022;NA;NA
Frandière;2022;27.083333333333332;44.166666666666671;0;29/04/2022;NA;NA
Frandière;2022;0;44.166666666666671;0;16/06/2022;NA;NA
Frandière;2022;0.41666666666666669;44.583333333333336;0;13/07/2022;Colmatage;NA
Frandière;2022;1.25;45.833333333333336;0;11/08/2022;Colmatage;NA
Frandière;2022;0;0;0;12/09/2022;Mise en poche;NA
Frandière;2022;0;0;0;10/10/2022;NA;NA
Frandière;2022;0;0;6.666666666666667;10/11/2022;NA;NA
Frandière;2022;NR;NR;NR;NA;NA;NA
Frandière;2022;NR;NR;NR;NA;NA;NA
Frandière;2023;0;0;4.9999999999999991;24/01/2023;NA;NA
Frandière;2023;0.83333333333333337;0.83333333333333337;0;21/02/2023;NA;NA
Frandière;2023;1.6666666666666665;2.5;0;23/03/2023;NA;NA
Frandière;2023;0.41666666666666652;2.9166666666666665;0;20/04/2023;NA;NA
Frandière;2023;NR;NR;NR;NA;NA;NA
Frandière;2023;0;2.9166666666666665;0;19/06/2023;NA;NA
Frandière;2023;1.3;4.2166666666666668;0;19/07/2023;NA;NA
Frandière;2023;0.6;4.8166666666666664;0;01/09/2023;NA;NA
Frandière;2023;0;4.8166666666666664;0;29/09/2023;NA;NA
Pointe-de-l'aiguillon;2016;0;0;0;21/09/2016;Mise en poche;NA
Pointe-de-l'aiguillon;2016;0;0;0;20/10/2016;NA;NA
Pointe-de-l'aiguillon;2016;0;0;0;16/11/2016;NA;NA
Pointe-de-l'aiguillon;2016;0;0;0;16/12/2016;NA;NA
Pointe-de-l'aiguillon;2017;0.55555555555555558;0.55555555555555558;0;01/02/2017;NA;NA
Pointe-de-l'aiguillon;2017;1.3888888888888891;1.9444444444444446;0;02/03/2017;NA;NA
Pointe-de-l'aiguillon;2017;1.1111111111111112;3.0555555555555558;0;30/03/2017;NA;NA
Pointe-de-l'aiguillon;2017;2.2222222222222223;5.2777777777777786;0;26/04/2017;NA;NA
Pointe-de-l'aiguillon;2017;1.9444444444444446;7.2222222222222232;0;05/06/2017;NA;NA
Pointe-de-l'aiguillon;2017;1.6666666666666667;8.8888888888888893;0;28/06/2017;NA;NA
Pointe-de-l'aiguillon;2017;2.2222222222222223;11.111111111111111;0;27/07/2017;NA;NA
Pointe-de-l'aiguillon;2017;0;0;0;23/10/2017;Mise en poche;NA
Pointe-de-l'aiguillon;2017;3.06;3.06;0;21/11/2017;NA;NA
Pointe-de-l'aiguillon;2017;0.27777777777777779;3.3377777777777777;0;19/12/2017;NA;NA
Pointe-de-l'aiguillon;2018;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2018;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2018;0;3.3377777777777777;0;16/03/2018;NA;NA
Pointe-de-l'aiguillon;2018;3.6111111111111112;6.9488888888888889;0;17/04/2018;NA;NA
Pointe-de-l'aiguillon;2018;2.5;9.448888888888888;0;15/05/2018;NA;NA
Pointe-de-l'aiguillon;2018;2.7777777777777781;12.226666666666667;0;14/06/2018;NA;NA
Pointe-de-l'aiguillon;2018;3.8888888888888902;16.115555555555556;0;12/07/2018;Colmatage;NA
Pointe-de-l'aiguillon;2018;0;0;0;24/10/2018;Mise en poche;NA
Pointe-de-l'aiguillon;2018;0.27;0.26666666666666666;0;08/11/2018;NA;NA
Pointe-de-l'aiguillon;2018;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2019;0.8;1.0666666666666669;0;10/01/2019;NA;NA
Pointe-de-l'aiguillon;2019;0.8;1.8666666666666671;0;21/02/2019;NA;NA
Pointe-de-l'aiguillon;2019;4.5;6.4000000000000012;0;25/03/2019;NA;NA
Pointe-de-l'aiguillon;2019;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2019;28.53;34.93333333333333;0;14/05/2019;NA;NA
Pointe-de-l'aiguillon;2019;5.6;40.533333333333331;0;13/06/2019;Colmatage;NA
Pointe-de-l'aiguillon;2019;2.93;43.466666666666669;0;02/07/2019;Colmatage;NA
Pointe-de-l'aiguillon;2019;0;0;0;17/10/2019;Mise en poche;NA
Pointe-de-l'aiguillon;2019;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2019;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2020;0.83;0.83333333333333337;0;13/01/2020;NA;NA
Pointe-de-l'aiguillon;2020;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2020;1.39;2.2222222222222223;0;09/03/2020;NA;NA
Pointe-de-l'aiguillon;2020;11.39;13.611111111111114;0;21/04/2020;NA;NA
Pointe-de-l'aiguillon;2020;8.33;21.944444444444446;0;26/05/2020;NA;NA
Pointe-de-l'aiguillon;2020;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2020;2.78;24.722222222222225;0;08/07/2020;NA;NA
Pointe-de-l'aiguillon;2020;0;0;0;04/11/2020;Mise en poche;NA
Pointe-de-l'aiguillon;2020;0.27777777777777773;0.27777777777777773;0;17/12/2020;NA;NA
Pointe-de-l'aiguillon;2021;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2021;0.55555555555555547;0.83333333333333326;0;04/02/2021;NA;NA
Pointe-de-l'aiguillon;2021;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2021;2.2222222222222219;3.0555555555555554;0;30/04/2021;NA;NA
Pointe-de-l'aiguillon;2021;6.1111111111111107;9.1666666666666661;0;26/05/2021;NA;NA
Pointe-de-l'aiguillon;2021;3.6111111111111107;12.777777777777777;0;23/06/2021;NA;NA
Pointe-de-l'aiguillon;2021;0;0;0;18/10/2021;Mise en poche;NA
Pointe-de-l'aiguillon;2021;0;0;0;06/12/2021;NA;NA
Pointe-de-l'aiguillon;2021;1;1;0;06/01/2022;NA;NA
Pointe-de-l'aiguillon;2022;5;6;0;18/02/2022;NA;NA
Pointe-de-l'aiguillon;2022;0;6;0;04/03/2022;NA;NA
Pointe-de-l'aiguillon;2022;5;11;0;06/04/2022;NA;NA
Pointe-de-l'aiguillon;2022;0;11;0;17/05/2022;NA;NA
Pointe-de-l'aiguillon;2022;NR;NR;NR;NA;NA;NA
Pointe-de-l'aiguillon;2022;0;11;0;22/06/2022;NA;NA
